city,city_index,recommendation,recommendation2,recommendation3,recommendation4,description
ADANA,1,CHP,,,,"Adana’da farklı dönemlerde CHP 5 ya da 6 vekil sınırında oldu. İYİ Parti 2 vekil çıkarıyor. YSP/HDP 1 ya da 2 vekil eşiğinde. AK Parti 4-5 vekil arasında.CHP AK Parti’den 1 sandalye daha alıp6’ya çıkabilir. AK Parti4’e düşebilir. •NisanH4 oy oranlarına göre son vekili AK Parti alıyor. Son vekile en yakın ikinci parti CHP.  Diğer partiler vekil eşiğine daha uzaklar. •CHP %0.3 puanlık bir artış gerçekleştirirse (AK Parti değişmeden) 6 MV’neçıkabiliyor. •İYİ Parti ‘nin3. vekile çıkabilmesi için ise %17.1’e yükselmesi gerekiyor (AK Parti ve CHP değişmeden). %11’e düşerse de 1’e düşüyor, CHP 6’ya çıkıyor. •TİP için ise eşik: %5.7 (CHP ve İYİ Parti yükselmeden)"
ADIYAMAN,2,YSP,,,,
AFYONKARAHİSAR,3,CHP,,,,
AKSARAY,4,İYİ,,,,
AMASYA,5,CHP,,,,
ANKARA 1,6,CHP,İYİ,,,
ANKARA 2,,CHP,İYİ,,,
ANKARA 3,,CHP,İYİ,YSP,TİP,
ANTALYA,7,CHP,,,,
ARDAHAN,8,CHP,YSP,İYİ,,
ARTVİN,9,CHP,,,,
AYDIN,10,CHP,,,,
AĞRI,11,YSP,CHP,İYİ,,
BALIKESİR,12,CHP,,,,
BARTIN,13,CHP,,,,
BATMAN,14,YSP,,,,
BAYBURT,15,İYİ,,,,
BOLU,16,CHP,,,,
BURDUR,17,CHP,,,,
BURSA,18,CHP,,,,
BİLECİK,19,CHP,,,,
BİNGÖL,20,YSP,,,,
BİTLİS,21,YSP,,,,
DENİZLİ,22,CHP,,,,
DÜZCE,23,CHP,,,,
DİYARBAKIR,24,YSP,,,,
EDİRNE,25,CHP,,,,
ELAZIĞ,26,CHP,,,,
ERZURUM,27,YSP,,,,
ERZİNCAN,28,CHP,,,,
ESKİŞEHİR,29,CHP,,,,
GAZİANTEP,30,CHP,,,,
GÜMÜŞHANE,31,İYİ,,,,
GİRESUN,32,CHP,,,,
HAKKARİ,33,YSP,,,,
HATAY,34,CHP,,,,
ISPARTA,35,İYİ,,,,
IĞDIR,36,YSP,,,,
KAHRAMANMARAŞ,37,CHP,,,,
KARABÜK,38,CHP,,,,
KARAMAN,39,CHP,,,,
KARS,40,YSP,,,,
KASTAMONU,41,CHP,,,,
KAYSERİ,42,CHP,,,,
KIRIKKALE,43,CHP,İYİ,,,
KIRKLARELİ,44,CHP,,,,
KIRŞEHİR,45,CHP,İYİ,YSP,TİP,
KOCAELİ,46,CHP,,,,
KONYA,47,CHP,,,,
KÜTAHYA,48,CHP,,,,
KİLİS,49,CHP,,,,
MALATYA,50,CHP,,,,
MANİSA,51,CHP,,,,
MARDİN,52,YSP,,,,
MERSİN,53,CHP,,,,
MUĞLA,54,CHP,,,,
MUŞ,55,YSP,,,,
NEVŞEHİR,56,CHP,İYİ,,,
NİĞDE,57,CHP,İYİ,,,
ORDU,58,CHP,,,,
OSMANİYE,59,CHP,,,,
RİZE,60,CHP,,,,
SAKARYA,61,CHP,,,,
SAMSUN,62,CHP,,,,
SİNOP,63,CHP,,,,
SİVAS,64,CHP,İYİ,,,
SİİRT,65,YSP,,,,
TEKİRDAĞ,66,CHP,,,,
TOKAT,67,CHP,,,,
TRABZON,68,CHP,,,,
TUNCELİ,69,YSP,,,,
UŞAK,70,CHP,,,,
VAN,71,YSP,,,,
YALOVA,72,CHP,,,,
YOZGAT,73,CHP,,,,
ZONGULDAK,74,CHP,,,,
ÇANAKKALE,75,CHP,,,,
ÇANKIRI,76,İYİ,,,,
ÇORUM,77,CHP,,,,
İSTANBUL 1,78,CHP,,,,
İSTANBUL 2,,,,,,
İSTANBUL 3,,,,,,
İZMİR 1,79,CHP,,,,
İZMİR 2,,,,,,
ŞANLIURFA,80,YSP,,,,
ŞIRNAK,81,YSP,,,,
